Rank,Song,Artist
1,Luther,Kendrick Lamar & SZA
2,Die With A Smile,Lady Gaga & Bruno Mars
3,Ordinary,Alex Warren
4,Nokia,Drake
5,A Bar Song (Tipsy),Shaboozey
6,Pink Pony Club,Chappell Roan
7,I'm The Problem,Morgan Wallen
8,I Ain't Coming Back,Morgan Wallen & Post Malone
9,Lose Control,Teddy Swims
10,Beautiful Things,Benson Boone
11,All The Way,BigXthaPlug Featuring Bailey Zimmerman
12,Anxiety,Doechii
13,Birds Of A Feather,Billie Eilish
14,Just In Case,Morgan Wallen
15,I Had Some Help,Post Malone Featuring Morgan Wallen
16,APT.,ROSE & Bruno Mars
17,Love Somebody,Morgan Wallen
18,Mutt,Leon Thomas
19,Espresso,Sabrina Carpenter
20,That's So True,Gracie Abrams
21,Not Like Us,Kendrick Lamar
22,Messy,Lola Young
23,TV Off,Kendrick Lamar Featuring Lefty Gunplay
24,30 For 30,SZA With Kendrick Lamar
25,Sports Car,Tate McRae
26,Abracadabra,Lady Gaga
27,Squabble Up,Kendrick Lamar
28,Stargazing,Myles Smith
29,No One Noticed,The Marias
30,Bad Dreams,Teddy Swims
31,I Never Lie,Zach Top
32,Timeless,The Weeknd & Playboi Carti
33,Taste,Sabrina Carpenter
34,Sorry I'm Here For Someone Else,Benson Boone
35,Blue Strips,Jessie Murph
36,Worst Way,Riley Green
37,Good News,Shaboozey
38,Sailor Song,Gigi Perez
39,Weren't For The Wind,Ella Langley
40,Hard Fought Hallelujah,Brandon Lake
41,I'm A Little Crazy,Morgan Wallen
42,Azizam,Ed Sheeran
43,Wildflower,Billie Eilish
44,Cry For Me,The Weeknd
45,Dark Thoughts,Lil Tecca
46,Residuals,Chris Brown
47,Denial Is A River,Doechii
48,DTMF,Bad Bunny
49,Indigo,Sam Barber Featuring Avery Anna
50,Am I Okay?,Megan Moroney
51,Back To Friends,sombr
52,Me Jalo,Fuerza Regida & Grupo Frontera
53,Love Me Not,Ravyn Lenae
54,Smile,Morgan Wallen
55,Twilight Zone,Ariana Grande
56,Somebody Loves Me,PARTYNEXTDOOR & Drake
57,Undressed,sombr
58,Revolving Door,Tate McRae
59,Baile Inolvidable,Bad Bunny
60,Rather Lie,Playboi Carti & The Weeknd
