billboard_song,billboard_artist,spotify_title,spotify_artist,release_date,album_name,track_popularity
Luther,Kendrick Lamar & SZA,luther (with sza),Kendrick Lamar,2024-11-21,GNX,94
Die With A Smile,Lady Gaga & Bruno Mars,Die With A Smile,Lady Gaga,2024-08-16,Die With A Smile,99
Nokia,Drake,NOKIA,Drake,2025-02-14,$ome $exy $ongs 4 U,94
Pink Pony Club,Chappell Roan,Pink Pony Club,Chappell Roan,2023-09-22,The Rise and Fall of a Midwest Princess,89
Ordinary,Alex Warren,Ordinary,Alex Warren,2025-02-07,Ordinary,96
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),Shaboozey,2024-04-12,A Bar Song (Tipsy),88
Lose Control,Teddy Swims,Lose Control,Teddy Swims,2023-06-23,Lose Control,85
All The Way,BigXthaPlug Featuring Bailey Zimmerman,Who Told You You Could Eat My Cookies? (from Jingle All the Way),Austrian Death Machine,2009-09-29,Double Brutal,20
Beautiful Things,Benson Boone,Beautiful Things,Benson Boone,2024-01-18,Beautiful Things,89
I'm The Problem,Morgan Wallen,I'm The Problem,Morgan Wallen,2025-01-31,I'm The Problem,89
Just In Case,Morgan Wallen,Just In Case,Morgan Wallen,2025-03-21,Just In Case,89
Birds Of A Feather,Billie Eilish,BIRDS OF A FEATHER,Billie Eilish,2024-05-17,HIT ME HARD AND SOFT,100
APT.,ROSE & Bruno Mars,APT.,ROSÉ,2024-10-18,APT.,96
Anxiety,Doechii,Anxiety,Doechii,2025-03-05,Anxiety,94
Espresso,Sabrina Carpenter,Espresso,Sabrina Carpenter,2024-04-12,Espresso,90
Mutt,Leon Thomas,MUTT (feat. Chris Brown) [CB REMIX],Leon Thomas,2025-03-21,MUTT (CB REMIX),84
I Had Some Help,Post Malone Featuring Morgan Wallen,convos with my racks,uno2slumped,2024-12-20,zzz,2
That's So True,Gracie Abrams,That’s So True,Gracie Abrams,2024-10-18,The Secret of Us (Deluxe),97
Not Like Us,Kendrick Lamar,Not Like Us,Kendrick Lamar,2024-05-04,Not Like Us,96
Love Somebody,Morgan Wallen,Love Somebody,Morgan Wallen,2024-10-18,Love Somebody,89
TV Off,Kendrick Lamar Featuring Lefty Gunplay,Super Bowl LIX Halftime Show - Live,Kendrick Lamar,2025-02-09,Super Bowl LIX Halftime Show (Live),71
Messy,Lola Young,Messy,Lola Young,2024-05-30,Messy,92
Sports Car,Tate McRae,Sports car,Tate McRae,2025-02-20,So Close To What,89
Squabble Up,Kendrick Lamar,squabble up,Kendrick Lamar,2024-11-22,GNX,90
30 For 30,SZA With Kendrick Lamar,30 For 30 (with Kendrick Lamar),SZA,2024-12-20,SOS Deluxe: LANA,88
Abracadabra,Lady Gaga,Abracadabra,Lady Gaga,2025-02-03,Abracadabra,92
Timeless,The Weeknd & Playboi Carti,Timeless (feat Playboi Carti),The Weeknd,2025-01-31,Hurry Up Tomorrow,95
Taste,Sabrina Carpenter,Taste,Sabrina Carpenter,2024-08-23,Short n' Sweet,92
I Never Lie,Zach Top,I Never Lie,Zach Top,2024-04-05,Cold Beer & Country Music,85
No One Noticed,The Marias,No One Noticed,The Marías,2024-05-31,Submarine,93
Stargazing,Myles Smith,Stargazing,Myles Smith,2024-05-10,Stargazing,89
Bad Dreams,Teddy Swims,Bad Dreams,Teddy Swims,2024-09-13,Bad Dreams,86
Fortnight,Taylor Swift Featuring Post Malone,Parabolic! (unplugged),nobigdyl.,2024-11-19,unplugged vol.1,20
Good News,Shaboozey,Good News,Shaboozey,2024-11-15,Good News,84
Sailor Song,Gigi Perez,Sailor Song,Gigi Perez,2024-07-26,Sailor Song,97
Sorry I'm Here For Someone Else,Benson Boone,Sorry I'm Here For Someone Else,Benson Boone,2025-02-27,Sorry I'm Here For Someone Else,91
I'm A Little Crazy,Morgan Wallen,I'm A Little Crazy,Morgan Wallen,2025-03-21,I'm A Little Crazy,85
Worst Way,Riley Green,Worst Way,Riley Green,2024-04-12,Way Out Here,84
Azizam,Ed Sheeran,Azizam,Ed Sheeran,2025-04-04,Azizam,89
Indigo,Sam Barber Featuring Avery Anna,Indigo (feat. Avery Anna),Sam Barber,2024-11-01,Restless Mind,88
Dark Thoughts,Lil Tecca,Dark Thoughts,Lil Tecca,2025-03-14,Dark Thoughts,93
Denial Is A River,Doechii,DENIAL IS A RIVER,Doechii,2024-08-30,Alligator Bites Never Heal,91
Cry For Me,The Weeknd,Cry For Me,The Weeknd,2025-01-31,Hurry Up Tomorrow,89
Wildflower,Billie Eilish,WILDFLOWER,Billie Eilish,2024-05-17,HIT ME HARD AND SOFT,96
DTMF,Bad Bunny,DtMF,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,98
Residuals,Chris Brown,Residuals,Chris Brown,2024-04-11,11:11 (Deluxe),77
Twilight Zone,Ariana Grande,twilight zone,Ariana Grande,2025-03-28,eternal sunshine deluxe: brighter days ahead,87
Me Jalo,Fuerza Regida & Grupo Frontera,ME JALO,Fuerza Regida,2024-12-19,MALA MÍA,92
Rather Lie,Playboi Carti & The Weeknd,RATHER LIE (with The Weeknd),Playboi Carti,2025-03-14,MUSIC,91
Am I Okay?,Megan Moroney,Am I Okay?,Megan Moroney,2024-07-12,Am I Okay?,81
The Giver,Chappell Roan,The Giver,Chappell Roan,2025-03-13,The Giver,89
Weren't For The Wind,Ella Langley,weren't for the wind,Ella Langley,2024-11-01,still hungover,79
Baile Inolvidable,Bad Bunny,BAILE INoLVIDABLE,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,96
Somebody Loves Me,PARTYNEXTDOOR & Drake,SOMEBODY LOVES ME,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,82
BMF,SZA,BMF,SZA,2024-12-20,SOS Deluxe: LANA,89
Back To Friends,sombr,back to friends,sombr,2024-12-27,back to friends,93
Friends Like That,John Morgan Featuring Jason Aldean,I Won't Back Down (Live from Saturday Night Live),Jason Aldean,2017-10-20,I Won't Back Down (Live From Saturday Night Live),40
Te Queria Ver,Aleman X Neton Vega,Peter Pen,X-Tense,2022-02-14,Imff,30
Smile,Morgan Wallen,Smile,Morgan Wallen,2024-12-31,Smile,83
Ojos Tristes,"Selena Gomez, benny blanco & The Marias",Ojos Tristes (with The Marías),Selena Gomez,2025-03-21,I Said I Love You First,85
Revolving Door,Tate McRae,Revolving door,Tate McRae,2025-02-21,So Close To What,91
Loco,Neton Vega,Loco,Neton Vega,2024-12-20,Loco,87
Hard Fought Hallelujah,Brandon Lake,Hard Fought Hallelujah,Brandon Lake,2024-11-08,Hard Fought Hallelujah,67
